Prompt;Response;Ground Truth
"Who Are You, Mr. Sorge?
Who Are You, Mr. Sorge? is a 1961 French drama film directed by Yves Ciampi. The original French- language name Qui êtes- vous, Monsieur Sorge?

Which film has the director born later, La Soif De L'Or or Forelsket I København?";"""Forelsket I København"" director born later.";Forelsket I København
"Academy Award for Best Director
1976 - Wertmüller! Lina Wertmüller for Seven Beauties 1993 - Campion! Jane Campion for Piano! The Piano 2003 - Coppola! Sofia Coppola for Lost in Translation 2009 - Bigelow! Kathryn Bigelow for Hurt! The Hurt Locker 2017 - Greta Gerwig for Lady Bird

Which film was released more recently, In The Country Of Juliets or Requiem For A Dream?";"""In The Country Of Juliets.""";Requiem For A Dream
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Who is older, Boris Mavashev or Geraldo Vandré?";Boris Mavashev;Geraldo Vandré
"Lo Hsiang-lin
Lo Hsiang- lin( 1906 – 1978) was one of the most renowned researchers in Hakka language and culture. His pioneering research in Hakka genealogy showed that the Hakka are Han Chinese.

Who is younger, Lo Hsiao-Ting or Basil Hoffman?";Basil Hoffman;Lo Hsiao-Ting
"Star Wars: The Last Jedi
Walt Disney Studios Home Entertainment will release Star Wars: The Last Jedi digitally in HD and 4K via download and Disney Movies Anywhere on March 13, 2018, with an Ultra HD Blu - Ray, Blu - ray, and DVD release on March 27.

Which film was released first, Sunset In Naples or The Storm Rider?";Sunset in Naples.;Sunset In Naples
"Ding Yan
Ding Yan (; 1794–1875) was a Qing dynasty Chinese classical scholar. He achieved the rank of ""juren"" in the Imperial Examinations.

Are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?";No.;yes
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Which film has the director who was born earlier, All About Anna or Spy Today, Die Tomorrow?";All About Anna.;Spy Today, Die Tomorrow
"Stephen Finlay
Stephen Finlay (30 November 1956 – 14 February 2004) was an English actor, writer and artist. He trained as an artist at the Camberwell School of Arts and Crafts and then as an actor at the Central School of Speech and Drama in London. He is the son of actor Frank Finlay.

Who was born first out of Marco Donadel and Carrie Finlay?";Carrie Finlay.;Marco Donadel
"The Great Unravel
The Great Unravel is the third studio album by folk rock group Gandalf Murphy and the Slambovian Circus of Dreams.

Where was the composer of song Unravel born?";Iceland.;Reykjavík
"Kiss Me, Kate
Kiss Me, Kate Music Cole Porter Lyrics Cole Porter Book Samuel and Bella Spewack Basis Shakespeare's play The Taming of the Shrew Productions 1948 Broadway 1951 West End 1999 Broadway revival 2001 West End revival 2007 Italian Version 2012 Chichester / West End revival Awards Tony Award for Best Musical Tony Award for Composer and Lyricist Tony Award for Best Author Tony Award for Best Revival Drama Desk Award for Outstanding Revival Evening Standard for Best Musical Critics Circle for Best Musical

Where was the director of film Meet Me On Broadway born?";New York.;New York
"Carlos Bee (California politician)
Carlos Bee, Junior( May 5, 1917- November 29, 1974) was a California politician. He served on the Hayward city council from 1948 to 1954, then as the mayor of Hayward from 1952 to 1954. From 1959 to 1968, and 1971 to 1974, he served as speaker pro tempore in the California State Assembly. Carlos Bee Boulevard in Hayward was named after him. He was born in Berkeley, California, the son of Texas Congressman Carlos Bee and grandson of Hamilton P. Bee, Speaker of the Texas House of Representatives, 1855 – 56. He died in San Antonio, Texas.

Where did Carlos Bee's father die?";Texas;San Antonio
"Eugene G. Fubini Award
The Eugene G. Fubini Award is an award by the Defense Science Board, named after Eugene G. Fubini, on an annual basis to recognize an individual from the private sector who has made highly significant contributions to the Department of Defense in an advisory capacity over a sustained period of time. Also in honor of Dr. Fubini, the National Defense Industrial Association( NDIA) presents a different Fubini Award recognizing the NDIA C4ISR Person of the Year.

Where was the father of Eugene Fubini born?";Italy;Venice
"Alberic III, Count of Tusculum
Alberic III (died 1044) was the Count of Tusculum, along with Galeria, Preneste, and Arce, from 1024, when his brother the count Roman was elected Pope John XIX, until his own death. He was a son of Gregory I and Maria, brother of Popes Benedict VIII and John XIX, and brother-in-law of Thrasimund III of Spoleto.

Who is Alberic Ii Of Spoleto's maternal grandmother?";Theophylact I's spouse, Theodora.;Theodora
"Man's Favorite Sport?
Man's Favorite Sport? is a 1964 comedy film starring Rock Hudson and Paula Prentiss. Released by Universal Pictures, the movie was directed and produced by Howard Hawks. Hawks intended this movie to be an homage to his own 1938 screwball classic"" Bringing Up Baby"" with Katharine Hepburn and Cary Grant, and unsuccessfully tried to get the original stars to reprise their roles.

Which film was released more recently, An Unreasonable Man or Lay The Favorite?";"""Lay The Favorite""";Lay The Favorite
"Ameena Begum (politician)
Ameena Begum is a Bangladeshi politician and former Member of Parliament, who popularly known as Dr. Ameena Shafiq. She served as a member of the Jatiya Sangshad from 2001 to 2006, representing women's reserved seat- 31( national 331) for the Bangladesh Jamaat- e- Islami.

What nationality is Ameena Begum's husband?";Pakistani.;Indian
"Marcello: A Sweet Life
Marcello: A Sweet Life is a 2006 Italian documentary film about actor Marcello Mastroianni.

Who was born later, Paolo Marcellini or Dean Evans?";Dean Evans;Dean Evans
"Radu Gioan Bey
Radu Gioan Bey( 1613 Iaşi – 1660), was a Prince of Moldavia. His father may have been the Hospodar Alexandru Coconul. Despite his alleged father's rank, he never became Voivode. He had one son, Martin, who served as a general in the army of George Ducas.

Who is the paternal grandfather of Alexandru Coconul?";Ştefăniţă Lupu.;Mihnea Turcitul
"Who Killed Bambi? (2003 film)
Who Killed Bambi? is a 2003 French thriller film directed by Gilles Marchand. In this film, a doctor and a nursing student investigate the mysterious disappearances taking place at their hospital.

Where was the place of death of the director of film Judith Therpauve?";Paris;Paris
"Lars Gustafsson Vasa
Lars Gustafsson Vasa( born 1 September 1586 in Silesia died 1660)- fictional son of Prince Gustav of Sweden with his supposed wife Brita Karth. According to the legend, in 1621 he married Brita Törnros. They were earlier thought to be the parents of Lars Eldstjerna and Samuel Stjerneld, founders of the Swedish noble families of Eldstierna and Stierneld respectively. Modern scholars have however refuted this myth and Lars and Samuel are nowadays identified as the sons of a vogt at Händelö named Lars( died 1657), whose possible patronym might have been Björnsson.

Who was born later, Richard Longstreth or Jenny Algelid-Bengtsson?";Jenny Algelid-Bengtsson;Jenny Algelid-Bengtsson
"Henri Amédée de Broglie
Henri Amédée de Broglie, Prince de Broglie( February 8, 1849- November 5, 1917).

Who is the father of Auguste-Théodore-Paul De Broglie?";Henri Amédée de Broglie.;Victor de Broglie
"List of most expensive films
Due to the secretive nature of Hollywood accounting it is not clear which film is the most expensive film ever made. Pirates of the Caribbean: On Stranger Tides officially holds the record with a budget of $378.5 million, while The Hobbit trilogy stands as the most expensive back - to - back film production with combined costs of $623 million after tax credits.

Which film has the director died first, Face In The Rain or Above The Rim?";"The director of ""Face In The Rain"" died first.";Face In The Rain
"Charles III, Prince of Monaco
Charles III( 8 December 1818 – 10 September 1889) was Prince of Monaco and Duke of Valentinois from 20 June 1856 to his death. He was the founder of the famous casino in Monte Carlo, as his title in Monegasque and Italian was Carlo III. He was born in Paris Charles Honoré Grimaldi, the only son of Florestan I of Monaco and Maria Caroline Gibert de Lametz.

Who is the mother-in-law of Maria Caroline Gibert De Lametz?";Princess Mary, Duchess of Guise.;Louise d'Aumont
"Arif Babayev
Arif Haji oglu Babayev was an Azerbaijani film director and Honorary Art Worker of the Azerbaijan SSR( 1964).

Where was the place of death of the director of film Foma Gordeyev (Film)?";Baku, Azerbaijan;Moscow
"Passion
Passion, the Passion or the Passions may refer to:

Which film was released earlier, The Pride And The Passion or Lamhe?";The Pride And The Passion.;The Pride And The Passion
"Crocodile River (Limpopo)
The Crocodile River is a river in South Africa. After its confluence with the Marico River, both rivers form the Limpopo River.

Are Sand River (Limpopo) and Dennis Creek both located in the same country?";Yes.;no
"The Heart of Rock & Roll
``The Heart of Rock & Roll ''Artwork for U.S. and continental European releases Single by Huey Lewis and the News from the album Sports B - side`` Workin 'for a Livin''' (Live) Released April 10, 1984 Format Vinyl Recorded Genre Rock Length 5: 03 (Album version) 4: 05 (Single version) Label Chrysalis Songwriter (s) Johnny Colla Huey Lewis Producer (s) Huey Lewis and the News Huey Lewis and the News singles chronology ``I Want a New Drug ''(1984)`` The Heart of Rock & Roll'' (1984) ``If This Is It ''(1984)`` I Want a New Drug'' (1984) ``The Heart of Rock & Roll ''(1984)`` If This Is It'' (1984)

What is the place of birth of the performer of song Outta My Head (Leona Lewis Song)?";London, England.;London
"List of most expensive films
Due to the secretive nature of Hollywood accounting it is not clear which film is the most expensive film ever made. Pirates of the Caribbean: On Stranger Tides officially holds the record with a budget of $378.5 million, while The Hobbit trilogy stands as the most expensive back - to - back film production with combined costs of $623 million after tax credits.

Which film has the director died earlier, The Stolen Airship or Day Of The Badman?";"The director of ""The Stolen Airship"" died earlier.";Day Of The Badman
"S. Krishna
S. Krishna is an Indian cinematographer and film director who primarily works in Kannada films. He gave a new dimension for cinematography through his breath taking visuals in"" Mungaru Male"" which is considered as a romantic cult classic. His Twitter Handle is@ Krisshdop He's an alumnus of Government Film and Television Institute, Bangalore.

Which film whose director is younger, Kiladigalu or He'S My Girl?";He'S My Girl;Kiladigalu
"Grammy Award records
Taylor Swift is the youngest artist to win Album of the Year. She was 20 years old when she won in 2010 for her album Fearless.

Which award the performer of song In 20-0-3 earned?";A Grammy Award.;Grammy
"Angano... Angano... nouvelles de Madagascar
Angano ... Angano ... nouvelles de Madagascar is a 1989 documentary film.

Was Lupe Anguiano or Philippe Close born first?";Lupe Anguiano.;Lupe Anguiano
"Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

Which film was released earlier, Yohan: The Child Wanderer or A Nightmare On Elm Street 4: The Dream Master?";Yohan: The Child Wanderer.;A Nightmare On Elm Street 4: The Dream Master
"Madagascar (2005 film)
Ben Stiller as Alex, a lion. Tom McGrath explained that ``Ben Stiller was the first actor we asked to perform, and we knew we wanted his character, Alex, to be a big performing lion with a vulnerable side. ''

Which film came out first, The Greatest Thing In Life or Den Of Lions?";The Greatest Thing In Life.;The Greatest Thing In Life
